"SCMEB" "DRSC" "BayesSpace" "Louvain"
"217" 5 5 7 8
"218" 6 6 3 3
"219" 2 2 4 2
"220" 2 2 4 2
"221" 4 4 5 7
"222" 6 6 3 3
"223" 2 2 4 2
"224" 3 3 6 4
"225" 4 4 5 7
"226" 6 5 6 8
"227" 1 2 4 6
"228" 5 5 7 4
"229" 3 1 2 5
"230" 3 1 2 4
"231" 6 6 3 3
"232" 6 6 3 3
"233" 5 1 6 5
"234" 6 6 3 3
"235" 5 3 6 8
"236" 1 2 2 5
"237" 3 1 2 5
"238" 4 4 5 7
"239" 4 4 1 7
"240" 2 2 4 2
"241" 2 2 4 6
"242" 1 1 2 6
"243" 2 2 4 6
"244" 1 1 7 5
"245" 2 2 4 2
"246" 2 2 4 2
"247" 6 6 3 3
"248" 2 5 4 2
"249" 4 4 5 7
"250" 2 2 4 2
"251" 2 2 7 2
"252" 5 1 7 2
"253" 2 2 4 2
"254" 2 5 4 2
"255" 6 6 3 3
"256" 6 6 3 3
"257" 6 6 3 3
"258" 4 2 4 7
"259" 2 2 4 2
"260" 2 2 7 2
"261" 5 1 7 2
"262" 6 5 6 3
"263" 3 1 2 4
"264" 3 1 2 5
"265" 1 1 2 5
"266" 1 2 4 6
"267" 5 2 7 2
"268" 1 1 2 5
"269" 2 2 4 2
"270" 5 3 6 8
"271" 5 1 7 6
"272" 1 2 4 5
"273" 1 1 2 5
"274" 6 6 3 3
"275" 4 2 4 6
"276" 5 3 6 8
"277" 5 1 7 6
"278" 2 2 4 6
"279" 3 3 6 4
"280" 3 1 6 4
"281" 6 6 6 4
"282" 5 1 7 8
"283" 6 3 6 4
"284" 1 1 2 5
"285" 2 2 4 2
"286" 6 6 3 3
"287" 3 1 2 4
"288" 3 1 2 5
"289" 3 3 6 4
"290" 5 1 7 2
"291" 1 1 2 5
"292" 5 5 6 8
"293" 3 1 2 5
"294" 6 6 3 3
"295" 3 3 6 4
"296" 2 2 7 8
"297" 3 1 2 5
"298" 1 2 4 7
"299" 2 2 7 2
"300" 4 4 5 7
"301" 6 6 3 3
"302" 6 6 3 3
"303" 2 2 7 2
"304" 6 6 3 3
"305" 2 2 4 2
"306" 2 2 7 2
"307" 1 2 4 5
"308" 1 2 4 2
"309" 4 4 5 7
"310" 6 6 3 3
"311" 5 3 6 8
"312" 3 3 6 4
"313" 2 2 4 5
"314" 1 2 4 6
"315" 5 5 7 6
"316" 1 1 7 5
"317" 1 1 2 5
"318" 5 1 7 2
"319" 6 6 3 3
"320" 6 6 3 3
"321" 5 5 6 8
"322" 1 1 2 5
"323" 2 2 4 2
"324" 2 2 4 2
"325" 6 6 3 3
"326" 6 6 3 3
"327" 6 6 3 3
"328" 2 2 4 6
"329" 1 2 4 6
"330" 3 3 6 4
"331" 2 2 4 2
"332" 2 2 4 2
"333" 6 6 3 3
"334" 5 1 2 2
"335" 1 2 4 2
"336" 5 5 6 8
"337" 6 6 3 3
"338" 5 2 7 6
"339" 1 1 7 5
"340" 1 2 4 2
"341" 6 6 3 3
"342" 6 6 3 3
"343" 6 5 3 3
"344" 5 1 7 2
"345" 1 1 2 5
"346" 4 4 4 2
"347" 1 1 2 5
"348" 5 1 7 2
"349" 5 3 6 4
"350" 1 1 2 6
"351" 1 1 2 5
"352" 2 2 7 2
"353" 4 4 5 7
"354" 4 4 1 7
"355" 2 2 4 2
"356" 5 5 6 8
"357" 1 2 2 5
"358" 2 2 4 2
"359" 1 2 4 6
"360" 3 3 6 4
"361" 1 2 4 6
"362" 2 2 4 2
"363" 5 1 7 2
"364" 6 6 3 3
"365" 6 6 3 3
"366" 6 6 3 3
"367" 6 6 3 3
"368" 6 6 3 3
"369" 2 2 4 6
"370" 5 1 6 8
"371" 2 2 4 7
"372" 2 2 4 2
"373" 5 3 6 8
"374" 2 2 7 2
"375" 5 5 7 2
"376" 5 1 7 5
"377" 5 3 6 8
"378" 4 4 5 7
"379" 6 6 3 3
"380" 1 2 4 6
"381" 1 1 2 6
"382" 5 5 7 8
"383" 4 4 5 7
"384" 5 2 7 6
"385" 5 5 6 8
"386" 2 2 4 2
"387" 6 6 3 3
"388" 1 1 2 5
"389" 2 2 4 2
"390" 4 4 1 7
"391" 3 3 6 4
"392" 6 6 3 3
"393" 4 2 4 7
"394" 6 6 3 3
"395" 3 3 6 4
"396" 1 2 4 2
"397" 3 3 6 4
"398" 5 5 6 8
"399" 1 1 2 5
"400" 6 6 3 3
"401" 4 4 5 7
"402" 6 6 3 3
"403" 5 3 6 8
"404" 5 5 7 6
"405" 5 1 2 5
"406" 2 2 4 2
"407" 6 5 3 3
"408" 2 2 4 2
"409" 6 6 3 3
"410" 5 1 7 6
"411" 1 2 4 6
"412" 1 1 2 5
"413" 5 1 2 6
"414" 1 2 4 2
"415" 3 3 6 4
"416" 3 3 6 4
"417" 2 2 4 2
"418" 6 6 3 3
"419" 2 2 4 2
"420" 3 3 6 4
"421" 2 2 4 2
"422" 6 6 3 3
"423" 2 2 4 2
"424" 1 2 4 2
"425" 1 2 4 6
"426" 5 2 7 2
"427" 3 3 6 4
"428" 2 2 4 2
"429" 6 6 3 3
"430" 1 1 7 2
"431" 2 2 4 2
"432" 6 6 3 3
"433" 4 4 4 7
"434" 5 1 2 4
"435" 4 2 4 2
"436" 5 5 6 2
"437" 6 6 3 3
"438" 1 2 4 2
"439" 3 3 6 4
"440" 6 6 3 3
"441" 5 1 7 5
"442" 1 1 2 5
"443" 4 4 7 9
"444" 6 6 3 3
"445" 5 5 6 8
"446" 4 2 4 7
"447" 2 2 4 2
"448" 6 6 3 3
"449" 3 3 6 4
"450" 6 5 3 3
"451" 4 4 5 7
"452" 1 1 2 5
"453" 2 2 4 6
"454" 5 1 7 2
"455" 6 6 3 3
"456" 5 5 6 8
"457" 4 4 7 8
"458" 5 5 7 6
"459" 6 6 3 3
"460" 4 2 4 7
"461" 3 3 6 4
"462" 2 2 4 2
"463" 3 5 6 4
"464" 3 3 6 4
"465" 4 4 1 7
"466" 2 2 4 6
"467" 5 5 6 8
"468" 6 6 3 3
"469" 2 2 4 6
"470" 2 2 7 6
"471" 2 2 4 2
"472" 4 4 7 2
"473" 2 2 4 2
"474" 2 2 4 6
"475" 3 1 7 4
"476" 1 2 4 2
"477" 5 1 7 5
"478" 6 6 3 3
"479" 2 2 4 2
"480" 5 1 2 6
"481" 2 2 7 2
"482" 5 1 7 2
"483" 6 6 3 3
"484" 4 4 5 7
"485" 3 3 6 5
"486" 5 5 6 8
"487" 3 3 6 4
"488" 3 3 6 4
"489" 1 1 2 2
"490" 3 3 6 4
"491" 5 1 2 4
"492" 3 1 6 4
"493" 3 3 6 4
"494" 6 6 3 3
"495" 6 6 3 3
"496" 2 2 4 2
"497" 3 3 6 4
"498" 5 5 6 8
"499" 6 6 3 3
"500" 1 1 2 6
"501" 5 1 7 2
"502" 2 2 7 2
"503" 2 2 4 2
"504" 5 3 6 8
"505" 5 3 6 5
"506" 5 1 7 6
"507" 6 6 3 3
"508" 5 1 2 5
"509" 4 5 4 6
"510" 2 2 7 2
"511" 5 5 6 8
"512" 3 1 6 4
"513" 2 2 4 2
"514" 5 5 7 8
"515" 3 3 6 4
"516" 2 2 4 2
"517" 4 4 6 9
"518" 4 4 5 7
"519" 1 2 2 6
"520" 2 2 4 2
"521" 1 2 4 6
"522" 2 2 4 6
"523" 2 2 4 6
"524" 6 5 3 3
"525" 5 3 6 6
"526" 3 1 2 5
"527" 5 1 7 5
"528" 6 3 3 3
"529" 3 1 2 4
"530" 2 2 7 2
"531" 3 1 6 4
"532" 5 1 7 5
"533" 2 2 4 6
"534" 5 1 7 2
"535" 1 2 4 6
"536" 6 6 3 3
"537" 6 5 3 3
"538" 1 1 2 5
"539" 4 4 5 7
"540" 4 4 1 7
"541" 3 3 6 4
"542" 4 2 4 6
"543" 2 2 4 6
"544" 1 1 2 5
"545" 2 2 7 2
"546" 6 6 3 3
"547" 3 3 6 4
"548" 1 1 2 5
"549" 5 1 6 5
"550" 5 1 7 2
"551" 3 3 6 4
"552" 6 6 3 3
"553" 5 1 7 6
"554" 3 2 6 4
"555" 6 5 6 3
"556" 3 3 6 4
"557" 1 1 2 5
"558" 2 2 4 2
"559" 6 6 3 3
"560" 1 1 2 5
"561" 3 3 6 4
"562" 5 1 7 6
"563" 2 2 4 8
"564" 6 6 3 3
"565" 3 3 6 4
"566" 3 3 6 4
"567" 6 6 3 3
"568" 5 5 6 8
"569" 4 4 5 7
"570" 1 1 7 4
"571" 1 1 2 6
"572" 5 3 6 8
"573" 4 4 5 7
"574" 2 2 4 2
"575" 5 5 6 8
"576" 4 4 5 7
"577" 3 5 6 5
"578" 2 2 2 2
"579" 2 2 7 2
"580" 1 1 2 5
"581" 2 2 4 6
"582" 1 2 4 2
"583" 2 2 4 2
"584" 5 2 7 6
"585" 4 4 5 7
"586" 3 3 6 4
"587" 2 2 4 2
"588" 2 2 4 2
"589" 2 2 4 2
"590" 3 3 6 4
"591" 4 4 5 7
"592" 1 2 2 6
"593" 4 4 5 7
"594" 4 4 1 7
"595" 1 2 4 7
"596" 3 3 6 4
"597" 6 6 3 3
"598" 2 2 7 2
"599" 1 2 4 5
"600" 4 4 7 7
"601" 2 2 4 6
"602" 4 4 5 7
"603" 4 1 7 9
"604" 1 2 4 5
"605" 3 3 6 4
"606" 3 1 6 5
"607" 2 2 4 2
"608" 1 2 4 2
"609" 6 6 3 3
"610" 6 6 3 3
"611" 2 2 4 6
"612" 4 4 5 7
"613" 3 3 6 4
"614" 2 2 4 2
"615" 5 3 6 4
"616" 6 6 3 3
"617" 3 3 6 4
"618" 3 3 6 4
"619" 3 3 6 4
"620" 5 1 7 5
"621" 5 3 6 4
"622" 4 4 5 7
"623" 2 2 4 6
"624" 6 6 3 3
"625" 6 6 3 3
"626" 2 2 7 2
"627" 2 2 7 2
"628" 6 6 3 3
"629" 5 1 7 4
"630" 6 6 3 3
"631" 5 5 6 8
"632" 1 1 2 5
"633" 6 6 3 3
"634" 5 3 6 4
"635" 5 3 6 8
"636" 1 2 4 6
"637" 6 6 3 3
"638" 6 6 3 3
"639" 2 2 4 2
"640" 1 2 2 5
"641" 3 3 6 4
"642" 2 2 4 8
"643" 5 1 7 4
"644" 3 3 6 5
"645" 1 2 2 5
"646" 6 6 3 3
"647" 4 1 7 2
"648" 5 1 7 2
"649" 2 2 4 2
"650" 5 1 7 4
"651" 2 2 4 6
"652" 2 2 4 7
"653" 6 6 3 3
"654" 5 2 7 2
"655" 3 3 6 4
"656" 1 2 4 6
"657" 5 1 7 6
"658" 1 1 2 5
"659" 5 1 6 4
"660" 3 3 6 4
"661" 2 2 4 2
"662" 4 4 5 2
"663" 2 2 4 6
"664" 4 4 5 7
"665" 6 6 3 3
"666" 1 1 2 5
"667" 1 2 4 2
"668" 5 1 2 5
"669" 6 6 3 3
"670" 6 6 3 3
"671" 5 5 6 8
"672" 1 2 4 6
"673" 6 6 3 3
"674" 6 6 3 3
"675" 2 2 4 6
"676" 3 3 6 5
"677" 5 1 2 5
"678" 4 4 1 7
"679" 6 6 3 3
"680" 5 5 6 8
"681" 4 4 1 7
"682" 5 3 6 4
"683" 1 2 4 2
"684" 5 3 6 4
"685" 4 4 1 7
"686" 3 3 6 4
"687" 5 1 2 5
"688" 3 3 6 4
"689" 6 6 3 3
"690" 4 4 1 7
"691" 1 1 2 5
"692" 5 5 6 8
"693" 2 2 4 2
"694" 3 3 6 4
"695" 6 6 3 3
"696" 2 2 4 2
"697" 4 2 4 7
"698" 2 2 4 2
"699" 5 5 7 8
"700" 3 3 6 4
"701" 5 1 7 2
"702" 6 6 3 3
"703" 2 2 4 2
"704" 2 2 4 2
"705" 3 3 6 4
"706" 4 2 4 2
"707" 6 6 3 3
"708" 6 5 3 3
"709" 2 2 4 5
"710" 3 3 6 4
"711" 6 6 3 3
"712" 2 2 7 6
"713" 4 4 5 7
"714" 6 6 3 3
"715" 5 3 6 8
"716" 6 6 3 3
"717" 3 3 6 4
"718" 1 1 2 5
"719" 4 4 5 7
"720" 3 3 6 4
"721" 4 4 5 7
"722" 1 2 4 5
"723" 4 4 1 7
"724" 1 2 2 6
"725" 5 1 7 2
"726" 5 5 7 2
"727" 3 3 6 5
"728" 3 1 2 5
"729" 3 3 6 4
"730" 5 5 6 8
"731" 6 6 3 3
"732" 5 3 6 4
"733" 1 1 2 5
"734" 6 2 4 7
"735" 5 5 7 8
"736" 2 2 4 6
"737" 2 2 7 2
"738" 1 2 4 6
"739" 6 6 3 3
"740" 1 2 4 6
"741" 1 1 2 5
"742" 3 5 6 4
"743" 2 2 4 6
"744" 5 5 7 2
"745" 6 6 3 3
"746" 1 2 2 5
"747" 4 4 1 7
"748" 3 3 6 4
"749" 3 3 6 4
"750" 6 6 3 3
"751" 2 2 4 2
"752" 2 2 4 2
"753" 1 2 4 6
"754" 3 3 6 4
"755" 5 2 7 2
"756" 1 2 4 5
"757" 2 2 4 2
"758" 5 6 6 5
"759" 2 2 4 2
"760" 6 6 3 3
"761" 2 2 4 2
"762" 2 2 4 6
"763" 4 4 5 7
"764" 1 2 4 6
"765" 6 6 3 3
"766" 5 1 7 8
"767" 1 1 2 4
"768" 1 1 2 6
"769" 6 6 3 3
"770" 1 2 4 2
"771" 1 1 7 2
"772" 1 1 7 5
"773" 6 6 3 3
"774" 6 6 3 3
"775" 4 4 7 9
"776" 5 1 2 6
"777" 1 2 7 6
"778" 3 1 2 4
"779" 3 3 6 4
"780" 2 2 4 2
"781" 3 1 2 4
"782" 2 2 4 2
"783" 6 6 3 3
"784" 2 2 4 2
"785" 5 1 7 2
"786" 1 2 4 2
"787" 6 6 3 3
"788" 1 2 7 2
"789" 5 2 7 2
"790" 1 1 2 5
"791" 6 6 3 3
"792" 1 2 2 5
"793" 3 3 6 4
"794" 3 3 6 4
"795" 5 5 6 8
"796" 3 3 6 4
"797" 2 2 7 2
"798" 5 5 6 8
"799" 6 6 3 3
"800" 5 5 6 8
"801" 1 2 4 2
"802" 3 1 2 5
"803" 1 2 7 6
"804" 3 1 2 4
"805" 2 2 4 2
"806" 2 2 4 6
"807" 2 2 4 2
"808" 1 2 2 5
"809" 6 6 3 3
"810" 6 6 3 3
"811" 6 6 3 3
"812" 6 6 3 3
"813" 2 2 4 2
"814" 5 3 6 8
"815" 6 6 3 3
"816" 5 1 7 5
"817" 4 4 5 7
"818" 3 3 6 4
"819" 2 2 4 6
"820" 2 2 7 2
"821" 5 1 7 6
"822" 2 2 4 2
"823" 5 5 7 2
"824" 3 3 6 4
"825" 3 3 6 5
"826" 2 2 4 2
"827" 2 2 4 6
"828" 3 3 6 4
"829" 1 1 2 5
"830" 3 1 2 4
"831" 3 3 6 4
"832" 6 6 3 3
"833" 2 2 4 2
"834" 5 1 7 5
"835" 4 1 7 2
"836" 5 3 6 4
"837" 1 2 2 5
"838" 6 6 3 3
"839" 3 3 6 4
"840" 3 1 6 5
"841" 6 6 3 3
"842" 1 2 2 2
"843" 5 5 6 8
"844" 2 2 4 6
"845" 2 2 7 2
"846" 2 2 4 2
"847" 2 2 4 2
"848" 5 5 6 8
"849" 5 5 6 8
"850" 6 6 3 3
"851" 2 2 7 2
"852" 6 6 3 3
"853" 1 1 2 5
"854" 4 4 5 7
"855" 2 2 4 2
"856" 5 3 6 8
"857" 5 3 6 8
"858" 1 2 2 5
"859" 2 2 7 2
"860" 6 6 6 3
"861" 3 1 2 4
"862" 5 1 2 6
"863" 5 5 7 2
"864" 2 2 4 2
"865" 4 4 4 2
"866" 5 1 2 5
"867" 6 6 3 3
"868" 1 2 4 5
"869" 3 5 6 4
"870" 1 2 2 6
"871" 2 2 7 2
"872" 4 2 4 7
"873" 6 6 3 3
"874" 3 3 6 4
"875" 2 2 4 2
"876" 1 1 2 2
"877" 6 6 3 3
"878" 1 1 2 4
"879" 1 2 4 6
"880" 1 2 4 6
"881" 2 2 4 2
"882" 6 6 3 3
"883" 3 3 6 4
"884" 1 2 4 2
"885" 1 1 2 5
"886" 4 4 5 7
"887" 1 2 4 6
"888" 1 2 2 5
"889" 1 2 4 2
"890" 6 6 3 3
"891" 1 2 7 6
"892" 3 3 6 4
"893" 3 3 6 5
"894" 3 1 6 5
"895" 5 5 7 8
"896" 6 6 3 3
"897" 2 2 7 2
"898" 6 6 3 3
"899" 2 2 4 6
"900" 1 2 4 6
"901" 1 1 2 5
"902" 2 5 7 2
"903" 6 6 3 3
"904" 6 4 7 5
"905" 2 2 4 2
"906" 2 2 4 2
"907" 4 4 5 7
"908" 3 3 6 4
"909" 2 2 7 2
"910" 6 6 3 3
"911" 5 5 7 8
"912" 4 4 5 7
"913" 5 1 7 4
"914" 3 3 6 4
"915" 4 4 5 7
"916" 2 2 4 6
"917" 3 3 6 4
"918" 3 3 6 4
"919" 2 2 4 2
"920" 1 1 2 5
"921" 6 6 6 3
"922" 6 6 3 3
"923" 3 1 2 5
"924" 1 2 4 2
"925" 3 3 6 4
"926" 1 2 4 5
"927" 4 4 5 7
"928" 5 1 7 6
"929" 1 1 2 2
"930" 5 5 7 8
"931" 5 3 6 4
"932" 1 2 4 6
"933" 4 4 7 9
"934" 4 1 2 5
"935" 3 3 6 4
"936" 6 6 3 3
"937" 6 6 3 3
"938" 5 1 7 8
"939" 3 1 6 5
"940" 6 6 3 3
"941" 6 6 3 3
"942" 5 1 2 5
"943" 5 1 7 8
"944" 3 1 2 5
"945" 2 2 4 2
"946" 2 2 7 6
"947" 5 3 6 8
"948" 5 1 2 5
"949" 6 3 3 3
"950" 3 1 6 4
"951" 2 2 4 2
"952" 6 6 3 3
"953" 6 6 3 3
"954" 4 4 5 7
"955" 5 1 7 8
"956" 2 2 4 2
"957" 5 1 7 5
"958" 6 6 3 3
"959" 3 3 6 4
"960" 5 3 6 4
"961" 2 2 4 2
"962" 2 2 4 6
"963" 2 2 4 6
"964" 4 1 7 9
"965" 2 2 4 2
"966" 3 3 6 5
"967" 5 2 7 2
"968" 6 6 3 3
"969" 3 1 6 5
"970" 4 1 7 2
"971" 2 2 4 2
"972" 2 2 4 8
"973" 4 4 5 7
"974" 3 3 6 4
"975" 1 2 7 6
"976" 4 1 7 2
"977" 3 5 6 4
"978" 3 3 6 4
"979" 6 6 6 3
"980" 6 6 3 3
"981" 5 1 7 2
"982" 5 5 7 8
"983" 6 6 3 3
"984" 1 1 2 5
"985" 3 3 6 5
"986" 6 6 3 3
"987" 6 6 3 3
"988" 3 3 6 4
"989" 5 1 7 4
"990" 6 6 6 3
"991" 5 5 6 8
"992" 4 4 5 7
"993" 6 6 3 3
"994" 3 3 6 4
"995" 5 3 6 8
"996" 4 4 1 7
"997" 2 2 4 2
"998" 2 5 7 2
"999" 2 2 4 6
"1000" 5 3 6 4
"1001" 6 6 3 3
"1002" 6 3 6 8
"1003" 1 1 2 5
"1004" 1 2 7 6
"1005" 2 2 4 2
"1006" 1 1 2 6
"1007" 6 6 3 3
"1008" 1 1 2 5
"1009" 3 3 6 4
"1010" 1 2 2 5
"1011" 6 6 6 4
"1012" 2 2 4 2
"1013" 5 5 6 8
"1014" 3 3 6 4
"1015" 6 6 3 3
"1016" 6 6 3 3
"1017" 1 1 2 5
"1018" 6 6 3 3
"1019" 6 6 3 3
"1020" 3 3 6 4
"1021" 5 3 6 4
"1022" 2 2 4 2
"1023" 5 1 7 2
"1024" 1 1 2 5
"1025" 5 5 7 6
"1026" 3 3 6 4
"1027" 5 3 6 8
"1028" 4 2 7 2
"1029" 2 2 4 2
"1030" 5 5 6 8
"1031" 6 6 3 3
"1032" 4 4 5 7
"1033" 6 5 3 3
"1034" 3 3 6 4
"1035" 1 1 2 5
"1036" 6 3 6 4
"1037" 2 2 4 2
"1038" 6 6 3 3
"1039" 4 2 4 5
"1040" 6 6 3 3
"1041" 1 2 4 6
"1042" 5 1 7 5
"1043" 3 3 6 4
"1044" 1 2 4 6
"1045" 4 4 5 7
"1046" 1 2 4 6
"1047" 1 1 2 5
"1048" 6 6 3 3
"1049" 6 6 3 3
"1050" 6 6 3 3
"1051" 5 5 7 8
"1052" 4 4 5 7
"1053" 5 3 6 8
"1054" 3 1 2 4
"1055" 2 2 4 2
"1056" 6 6 3 3
"1057" 1 2 4 2
"1058" 6 6 3 3
"1059" 6 6 3 3
"1060" 6 6 3 3
"1061" 5 3 6 4
"1062" 6 6 3 3
"1063" 3 3 6 4
"1064" 2 2 4 2
"1065" 1 1 7 6
"1066" 5 5 7 2
"1067" 3 3 6 4
"1068" 3 1 2 5
"1069" 2 2 7 2
"1070" 6 6 3 3
"1071" 6 6 3 3
"1072" 6 5 3 3
"1073" 3 3 6 5
"1074" 5 3 6 8
"1075" 2 2 4 6
"1076" 3 3 6 4
"1077" 5 3 6 8
"1078" 5 1 7 6
"1079" 5 1 7 2
"1080" 1 1 2 5
"1081" 3 3 6 4
"1082" 2 2 4 2
"1083" 5 1 7 5
"1084" 2 2 4 2
"1085" 6 3 6 4
"1086" 5 5 6 8
"1087" 4 4 1 7
"1088" 6 6 3 3
"1089" 5 5 6 8
"1090" 3 3 6 4
"1091" 5 5 7 8
"1092" 2 2 4 6
"1093" 5 3 6 8
"1094" 1 2 4 5
"1095" 5 3 6 4
"1096" 5 3 6 8
"1097" 6 6 3 3
"1098" 3 3 6 5
"1099" 4 4 5 7
"1100" 6 6 3 3
"1101" 2 2 7 2
"1102" 6 6 3 3
"1103" 3 3 6 4
"1104" 6 6 3 3
"1105" 5 5 6 8
"1106" 5 1 6 6
"1107" 1 1 2 5
"1108" 3 3 6 4
"1109" 6 6 3 3
"1110" 1 2 2 5
"1111" 5 5 7 2
"1112" 5 5 7 2
"1113" 1 1 2 5
"1114" 3 3 6 4
"1115" 6 3 3 4
"1116" 5 5 6 4
"1117" 1 1 2 5
"1118" 3 3 6 4
"1119" 2 5 7 2
"1120" 2 2 4 2
"1121" 2 2 7 2
"1122" 5 5 7 2
"1123" 6 6 3 3
"1124" 5 2 7 6
"1125" 4 4 5 7
"1126" 2 2 4 2
"1127" 1 1 2 4
"1128" 5 3 6 8
"1129" 6 6 3 3
"1130" 5 5 7 4
"1131" 1 2 4 2
"1132" 4 4 1 7
"1133" 6 6 3 3
"1134" 6 5 3 3
"1135" 5 5 6 8
"1136" 3 3 6 4
"1137" 6 6 3 3
"1138" 1 2 4 5
"1139" 2 2 4 2
"1140" 4 2 4 2
"1141" 3 3 6 4
"1142" 6 6 3 3
"1143" 3 1 6 5
"1144" 6 6 3 3
"1145" 6 6 3 3
"1146" 6 6 3 3
"1147" 2 2 4 2
"1148" 5 5 7 2
"1149" 1 2 4 6
